word,doc_freq
efek,23
samping,19
obat,11
nyeri,11
timbul,11
mual,9
ganggu,8
rupa,7
konsumsi,6
darah,6
muntah,6
berat,6
hati,6
kulit,5
sakit,5
kondisi,4
menstruasi,4
amenore,4
jarang,4
laku,4
ginjal,4
implan,4
onani,4
parasetamol,3
kb,3
diare,3
buruk,3
akibat,3
aktivitas,3
salah,3
antuk,3
normal,3
infeksi,3
alergi,3
badan,3
wanita,3
kepala,3
sulit,3
salur,2
pseudoefedrin,2
milik,2
bengkak,2
operasi,2
alami,2
otot,2
paracetamol,2
merah,2
daerah,2
sesak,2
tubuh,2
cerna,2
istri,2
psikologis,2
ctm,2
siklus,2
ulu,2
perhati,2
nikmat,2
alam,2
reaksi,2
pengaruh,2
tingkat,2
minggu,2
intim,2
spotting,2
fungsi,2
menggangu,2
perut,2
hubung,2
paska,2
ruam,2
candu,2
dokter,2
cepat,2
hadap,2
gelisah,2
gejala,2
konsultasi,2
gesek,2
suntik,2
utama,2
eswl,2
gatal,2
ejakulasi,2
penis,2
makan,2
tidur,1
rusak,1
lelah,1
campur,1
hamil,1
kantuk,1
adaptasi,1
cair,1
risiko,1
lensa,1
frekuensi,1
kemih,1
kendara,1
prosedur,1
kacamata,1
stres,1
sembarang,1
gusi,1
anemia,1
haid,1
keruh,1
nafas,1
tindak,1
kontrasepsi,1
usia,1
anjur,1
berpergian,1
langsung,1
erti,1
nafsu,1
tekan,1
spiral,1
air,1
olahraga,1
sindrom,1
cemas,1
jantung,1
ovarium,1
kaki,1
keringat,1
telan,1
polikistik,1
lepas,1
mati,1
obesitas,1
payudara,1
kait,1
ayah,1
dosis,1
turun,1
clopidogrel,1
kena,1
saran,1
memar,1
kandung,1
debar,1
antiplatelet,1
hindar,1
jam,1
sifat,1
kontak,1
ubah,1
pusing,1
retensi,1
tuntas,1
minum,1
antibiotik,1
lemas,1
panas,1
angkat,1
drastis,1
motor,1
produk,1
informasi,1
kencing,1
buang,1
flek,1
hormon,1
wajar,1
sistem,1
pasang,1
demam,1
pinggang,1
sampngnya,1
tensi,1
hormonal,1
singkat,1
proses,1
copot,1
keluh,1
norethisterone,1
warna,1
henti,1
maag,1
kram,1
bercak,1
urin,1
kering,1
jelang,1
rifampicin,1
dengar,1
gigi,1
oains,1
minor,1
kembung,1
perih,1
menopause,1
maksud,1
napas,1
loratadine,1
