word,doc_freq
batu,504
ginjal,483
infeksi,480
salur,420
kemih,416
nyeri,400
sakit,375
obat,318
hamil,290
darah,288
ganggu,276
air,265
gejala,257
rupa,251
perut,219
kondisi,218
menstruasi,215
kandung,204
laku,200
radang,190
buang,182
akibat,173
keluh,164
makan,160
dokter,155
wanita,149
urin,137
periksa,133
timbul,130
normal,128
tubuh,125
orang,121
pinggang,120
berat,119
bayi,114
usus,111
konsumsi,110
bentuk,108
ukur,104
rahim,104
alam,102
siklus,101
milik,99
minum,99
hubung,97
warna,97
kencing,96
haid,95
muncul,95
tangan,94
bakteri,94
tingkat,93
asam,92
organ,87
salah,86
mual,86
tanda,85
lambung,84
badan,81
putih,81
ubah,81
muntah,80
ovarium,79
vagina,79
turun,78
stres,77
seksual,77
tahan,77
hormon,77
utama,76
bak,76
cerna,75
alami,73
sel,72
telur,72
otot,72
buah,69
pengaruh,68
atur,68
masuk,68
hasil,68
kista,68
isk,66
hormonal,66
paru,66
demam,65
faktor,64
efek,63
antibiotik,63
cair,62
tulang,61
operasi,60
batuk,60
derita,60
panggul,59
jenis,59
fisik,59
iritasi,58
samping,57
usia,57
minggu,57
hindar,56
usg,56
langsung,55
subur,55
tular,54
kb,54
lambat,53
dasar,53
temu,52
tes,51
sperma,50
sulit,50
kontrasepsi,50
medis,50
reproduksi,49
gantung,48
anak,47
dinding,47
bau,45
endometriosis,44
butuh,44
beda,44
ureter,43
lelah,43
susu,43
merah,43
sumbat,43
kadar,42
tekan,42
kanker,42
kait,42
sesuai,42
sistem,41
sindrom,41
janin,41
reda,40
frekuensi,40
sehat,40
mudah,40
saraf,39
kali,39
kembang,39
lihat,39
golong,39
testpack,39
hadap,38
ulang,38
proses,38
punggung,37
terapi,37
alat,37
fungsi,37
tunjang,37
risiko,37
bantu,37
kulit,37
kiri,37
hidup,36
cedera,36
nafas,36
kalsium,36
pola,36
kena,36
payudara,36
cegah,35
napas,35
kepala,34
anyang,34
bahan,34
picu,33
asi,33
produksi,33
hati,33
keruh,33
alergi,33
daerah,32
tumor,32
anjur,31
kanan,31
contoh,31
jalan,31
tbc,31
area,31
tiroid,31
lahir,30
aktivitas,30
tumbuh,30
buntu,30
urat,30
kronis,30
jamur,29
jantung,29
tuberkulosis,29
prostat,29
diagnosis,28
arah,28
bersih,28
dada,28
jarang,28
olahraga,28
kelenjar,28
ovulasi,27
saran,27
terkadang,27
cepat,27
hilang,27
gatal,27
diare,27
suntik,26
tenggorok,26
keras,26
virus,26
diabetes,26
kristal,25
aktif,25
psikologis,25
positif,25
pasang,25
cemas,25
pasien,25
empedu,25
posisi,25
komplikasi,25
ringan,25
polikistik,24
riwayat,24
nyaman,24
hitung,24
gerak,24
uretra,24
tumpuk,23
kram,23
buluh,23
sendi,23
iud,23
campur,23
selangkang,23
variasi,23
belah,23
luka,23
rontgen,23
mineral,23
indung,22
serviks,22
obesitas,22
gizi,22
jaring,22
negatif,22
jaga,22
lepas,22
tuju,22
sengat,22
dahak,22
jalar,22
sembuh,21
rongga,21
konstipasi,21
intim,21
mengkonsumsi,21
rokok,21
sempit,21
istirahat,21
bab,21
lemas,21
sisa,20
seringkali,20
anti,20
endap,20
gonore,20
alir,20
resep,20
tuntas,20
letak,19
gugur,19
ct,19
ganas,19
kebal,19
