word,doc_freq
alami,96
keluh,95
obat,91
kondisi,89
infeksi,82
salur,74
dokter,70
sakit,67
hamil,62
darah,62
kemih,60
nyeri,59
laku,57
ginjal,55
rupa,54
menstruasi,52
akibat,46
gejala,45
batu,43
periksa,41
air,38
ganggu,38
radang,36
kandung,36
kait,35
normal,34
bayi,34
konsumsi,33
alam,33
perut,32
isk,29
berat,29
makan,29
buang,25
hubung,25
lambung,24
langsung,24
sesuai,24
pinggang,23
minum,22
bakteri,22
kena,21
cair,21
tanda,20
seksual,20
haid,19
kencing,19
asam,19
vagina,19
tubuh,19
badan,19
anak,19
utama,19
efek,18
sehat,17
hasil,16
milik,16
dasar,16
siklus,16
timbul,15
tangan,15
minggu,15
khawatir,14
cerna,14
iritasi,14
warna,14
urin,14
hadap,14
orang,14
jalan,13
lambat,13
usia,13
operasi,13
kontrol,13
beda,13
usus,12
samping,12
informasi,12
atur,12
masuk,12
dosis,12
bahaya,11
medis,11
janin,11
ayah,11
subur,11
kista,11
antibiotik,11
rahim,11
kanan,11
lihat,11
bak,11
kb,11
lahir,11
saran,11
riwayat,10
paru,10
salah,10
pasang,10
mual,10
susu,10
resep,10
tular,9
demam,9
mengkonsumsi,9
sulit,9
gantung,9
usg,9
muncul,9
spesialis,9
bab,9
tuju,9
ukur,9
ubah,9
kali,8
kiri,8
suami,8
henti,8
wanita,8
daerah,8
golong,8
penis,8
pengaruh,8
konsultasi,8
batuk,8
tingkat,8
jantung,8
fisik,8
sembuh,8
wajar,8
bidan,8
bantu,8
hormon,8
asi,8
ringan,8
merah,8
gatal,8
tekan,7
hidup,7
dingin,7
tuberkulosis,7
belah,7
alergi,7
intim,7
risiko,7
gugur,7
luka,7
ovarium,7
batas,7
putih,7
reaksi,7
pakai,7
maag,7
jenis,7
arah,7
kanker,7
optimal,7
fungsi,7
dada,6
anjur,6
tuntas,6
payudara,6
tunjang,6
suntik,6
tahan,6
turun,6
suplemen,6
pasien,6
rusak,6
bentuk,6
serviks,6
hati,6
penetrasi,6
maksud,6
tes,6
panas,6
kerja,6
rokok,6
ulang,6
suhu,6
bukti,6
gula,6
faktor,6
terang,6
iud,6
ideal,5
ya,5
timbang,5
buah,5
basal,5
status,5
racun,5
mpasi,5
cedera,5
organ,5
lengkap,5
mitos,5
syndrome,5
kontrasepsi,5
kelamin,5
nyaman,5
bau,5
hitam,5
dahak,5
panggul,5
sel,5
perhati,5
nilai,5
pasca,5
jam,5
hormonal,5
pola,5
rendah,5
evaluasi,5
khusus,5
ragu,5
aman,5
temu,5
tutup,5
virus,5
letak,5
curiga,5
bronkhitis,5
keras,5
kadar,5
derita,5
angka,4
pre,4
gambar,4
komposisi,4
telur,4
kronis,4
rumah,4
lemas,4
waspada,4
sperma,4
produk,4
isi,4
kuning,4
metode,4
kepala,4
area,4
butuh,4
tanggal,4
tbc,4
papar,4
buntu,4
terapi,4
